MUNDO,10182547,502959,5513628,SI,SI,SI
USA,2621662,128315,1083709,SI,SI,NO
BRASIL,1319274,57149,715905,SI,SI,NO
RUSIA,643437,9073,399087,SI,SI,NO
INDIA,549196,16487,321774,SI,SI,NO
ESPAÑA,295850,28343,SINDATOS,-,-,-
ITALIA,240310,34738,188891,SI,SI,NO
CHILE,271982,5509,232210,SI,SI, SI
CABA,30521,562,9722,SI,SI,SI
PBA,26337,526,8559,SI,SI,SI
CHACO,1831,94,1012,SI,SI,NO
RIO NEGRO,819,41,527,SI,SI,NO
CORDOBA,633,37,380,SI,SI,NO
NEUQUEN,447,13,139,SI,SI,NO
SANTA FE,412,4,256,NO,NO,NO
ENTRE RIOS,245,0,40,SI,NO,NO
MENDOZA,155,10,88,NO,NO,NO
TIERRA DEL FUEGO,136,1,135,NO,NO,NO
CHUBUT,119,1,43,SI,NO,NO
CORRIENTES,116,0,104,NO,NO,NO
JUJUY,91,2,11,NO,NO,NO
LA RIOJA,76,8,56,NO,NO,NO
FORMOSA,73,0,13,NO,NO,NO
TUCUMAN,72,5,43,NO,NO,NO
SANTA CRUZ,51,0,51,NO,NO,NO
MISIONES,39,3,33,NO,NO,NO
SALTA,26,0,18,NO,NO,NO
SANTIAGO DEL ESTERO,22,0,22,NO,NO,NO
SAN LUIS,10,0,10,NO,NO,NO
SAN JUAN,8,0,5,NO,NO,NO
LA PAMPA,7,0,6,NO,NO,NO
CATAMARCA,0,0,0,NO,NO,NO
